# Ossuary rating table — generated by tools/FetchCodexData, do not edit
# snapshot	v26
# data_through	2026-08-25T16:34:38.319000
# total_runs	1416903
kind	bracket	character	id	score	win_rate	pick_rate	picks	tier
cards	all	all	JACK_OF_ALL_TRADES	69	48.9	7.3	13675	A
cards	all	all	JUGGERNAUT	59	45.9	23.2	23711	B
cards	all	all	JUGGLING	44	41.4	13.2	31261	C
cards	all	all	KINGLY_KICK	19	34	12.2	19220	D
cards	all	all	KINGLY_PUNCH	16	33	13.2	20041	D
cards	all	all	KNIFE_TRAP	68	48.4	43.1	32755	A
cards	all	all	KNOCKDOWN	100	63.2	7.6	5458	S
cards	all	all	KNOCKOUT_BLOW	17	33.4	11.2	19670	D
cards	all	all	KNOW_THY_PLACE	40	40.1	23.5	86629	C
cards	all	all	LARGESSE	70	49.3	23.8	20329	A
cards	all	all	LEADING_STRIKE	44	41.3	26.3	133468	C
cards	all	all	LEAP	18	33.5	16.5	76265	D
cards	all	all	LEGION_OF_BONE	81	52.6	30.5	25844	A
cards	all	all	LEG_SWEEP	49	42.8	25.3	48150	B
cards	all	all	LETHALITY	37	39.1	39.4	52630	C
cards	all	all	LIFT	77	51.3	6.4	13486	A
cards	all	all	LIGHTNING_ROD	17	33.1	26.3	107981	D
cards	all	all	LOOP	21	34.4	33.5	50000	D
cards	all	all	LUNAR_BLAST	57	45.3	10.7	14330	B
cards	all	all	MACHINE_LEARNING	67	48.2	45.6	34302	A
cards	all	all	MAKE_IT_SO	76	51.1	27.9	27733	A
cards	all	all	MALAISE	85	53.6	19.1	20046	A
cards	all	all	MANGLE	71	49.5	23.7	23680	A
cards	all	all	MANIFEST_AUTHORITY	40	40.2	28.8	31610	C
cards	all	all	MASTER_OF_STRATEGY	100	66.3	7.8	26477	S
cards	all	all	MASTER_PLANNER	42	40.6	27.6	16510	C
cards	all	all	MAYHEM	100	59	6.7	14070	S
cards	all	all	MELANCHOLY	36	39	13.7	23123	C
